date,channel,ad_spend
2026-07-25,paid_search,208.79
2026-07-25,marketplace,164.33
2026-07-25,email,134.54
2026-07-26,paid_search,191.59
2026-07-26,marketplace,154.99
2026-07-26,email,143.36
2026-07-27,paid_search,233.96
2026-07-27,marketplace,257.39
2026-07-27,email,191.35
2026-07-28,paid_search,293.58
2026-07-28,marketplace,219.30
2026-07-28,email,187.99
2026-07-29,paid_search,267.15
2026-07-29,marketplace,217.49
2026-07-29,email,182.25
2026-07-30,paid_search,266.30
2026-07-30,marketplace,204.88
2026-07-30,email,169.03
2026-07-31,paid_search,238.66
2026-07-31,marketplace,243.01
2026-07-31,email,177.95
2026-08-01,paid_search,167.69
2026-08-01,marketplace,193.51
2026-08-01,email,137.60
2026-08-02,paid_search,178.84
2026-08-02,marketplace,153.86
2026-08-02,email,146.38
2026-08-03,paid_search,278.64
2026-08-03,marketplace,225.59
2026-08-03,email,205.54
2026-08-04,paid_search,288.60
2026-08-04,marketplace,263.70
2026-08-04,email,174.30
2026-08-05,paid_search,230.67
2026-08-05,marketplace,253.44
2026-08-05,email,210.05
2026-08-06,paid_search,239.12
2026-08-06,marketplace,215.51
2026-08-06,email,168.42
2026-08-07,paid_search,253.06
2026-08-07,marketplace,213.98
2026-08-07,email,186.60
2026-08-08,paid_search,219.54
2026-08-08,marketplace,173.84
2026-08-08,email,134.01
2026-08-09,paid_search,187.68
2026-08-09,marketplace,158.32
2026-08-09,email,163.62
2026-08-10,paid_search,300.79
2026-08-10,marketplace,267.67
2026-08-10,email,192.37
2026-08-11,paid_search,271.71
2026-08-11,marketplace,212.11
2026-08-11,email,199.84
2026-08-12,paid_search,298.50
2026-08-12,marketplace,242.79
2026-08-12,email,202.48
2026-08-13,paid_search,246.02
2026-08-13,marketplace,209.92
2026-08-13,email,210.14
2026-08-14,paid_search,253.54
2026-08-14,marketplace,256.13
2026-08-14,email,190.46
2026-08-15,paid_search,186.17
2026-08-15,marketplace,151.62
2026-08-15,email,166.39
2026-08-16,paid_search,182.93
2026-08-16,marketplace,155.01
2026-08-16,email,130.08
2026-08-17,paid_search,276.14
2026-08-17,marketplace,248.02
2026-08-17,email,221.78
2026-08-18,paid_search,276.58
2026-08-18,marketplace,223.07
2026-08-18,email,227.37
2026-08-19,paid_search,258.03
2026-08-19,marketplace,251.77
2026-08-19,email,216.34
2026-08-20,paid_search,261.62
2026-08-20,marketplace,211.59
2026-08-20,email,185.29
2026-08-21,paid_search,233.04
2026-08-21,marketplace,246.86
2026-08-21,email,194.41
2026-08-22,paid_search,213.53
2026-08-22,marketplace,206.66
2026-08-22,email,160.20
2026-08-23,paid_search,227.35
2026-08-23,marketplace,194.92
2026-08-23,email,174.69
2026-08-24,paid_search,290.42
2026-08-24,marketplace,255.22
2026-08-24,email,231.13
2026-08-25,paid_search,274.93
2026-08-25,marketplace,220.96
2026-08-25,email,177.52
2026-08-26,paid_search,287.07
2026-08-26,marketplace,258.87
2026-08-26,email,207.11
2026-08-27,paid_search,270.42
2026-08-27,marketplace,232.34
2026-08-27,email,188.49
2026-08-28,paid_search,273.38
2026-08-28,marketplace,270.46
2026-08-28,email,223.71
2026-08-29,paid_search,228.21
2026-08-29,marketplace,181.19
2026-08-29,email,161.71
2026-08-30,paid_search,221.15
2026-08-30,marketplace,202.30
2026-08-30,email,134.21
2026-08-31,paid_search,281.37
2026-08-31,marketplace,231.14
2026-08-31,email,176.77
2026-09-01,paid_search,281.28
2026-09-01,marketplace,250.88
2026-09-01,email,186.69
2026-09-02,paid_search,288.81
2026-09-02,marketplace,286.84
2026-09-02,email,221.63
2026-09-03,paid_search,267.68
2026-09-03,marketplace,223.25
2026-09-03,email,195.23
2026-09-04,paid_search,268.25
2026-09-04,marketplace,229.67
2026-09-04,email,181.28
2026-09-05,paid_search,196.72
2026-09-05,marketplace,186.09
2026-09-05,email,173.64
2026-09-06,paid_search,204.04
2026-09-06,marketplace,202.96
2026-09-06,email,130.39
2026-09-07,paid_search,308.79
2026-09-07,marketplace,256.90
2026-09-07,email,210.69
